,Dataset,FeatureSet,Model,BestParams,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Score_Mean,F1_Score_STD
18,Simple,MutualInformation1,GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.9417434620174345,0.020293324118216976,0.8550558213716108,0.10576023949674479,0.7784126984126984,0.04562601707484873,0.8123656480505795,0.06139008738712705
19,Simple,MutualInformation1,XGBoost,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}",0.9408385222083853,0.01659256842880168,0.8795696136893959,0.08575372965819841,0.7387301587301587,0.0791972829369201,0.7991889891911986,0.05891713960549234
20,Simple,MutualInformation2,DecisionTree,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10}",0.8998879202988792,0.030778134115591195,0.6999839989759346,0.12071023250821393,0.6987301587301588,0.06712165224839373,0.6943649633948141,0.08026853417219441
21,Simple,MutualInformation2,RandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.9235491905354918,0.019876980688122,0.8218315018315018,0.09539704965571351,0.6757142857142857,0.06571428571428574,0.7391458814409635,0.06704341589696511
22,Simple,MutualInformation2,GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 300}",0.9199128268991282,0.019269662145975707,0.7973342786246012,0.09428793571297937,0.6815873015873016,0.0350588893772153,0.7332811450844238,0.05552981389628311
23,Simple,MutualInformation2,XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",0.921739310917393,0.02482320547942981,0.8061935483870968,0.12055442124578188,0.6985714285714286,0.03142857142857143,0.7445786452353617,0.06284181010071893
24,Simple,RFE1,DecisionTree,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}",0.923549190535492,0.020691839273386105,0.77052940036811,0.0770169017423919,0.7495238095238096,0.05679257720333553,0.7590193505371139,0.06261181070703381
25,Simple,RFE1,RandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.9417559153175592,0.018972045868362927,0.8772626009468114,0.09479545739348877,0.75,0.06094494002200442,0.8056579081545939,0.060732490786313424
26,Simple,RFE1,GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.9426608551266085,0.01672592309144187,0.884298485677796,0.07902623128811422,0.7446031746031746,0.052454013501122256,0.806765873015873,0.05398715822034431
27,Simple,RFE1,XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9417600664176007,0.017599386491528757,0.8625029196631632,0.07567680116089813,0.7614285714285715,0.04598136268408882,0.8079813206827273,0.05498628190992354
28,Simple,RFE2,DecisionTree,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",0.8971564964715648,0.022871713665372877,0.684936234936235,0.087134299703818,0.6931746031746033,0.08547821695140959,0.6838147080767937,0.06378538391749296
