,parking,number_domain_keywords_en,number_parking_kewords_en,number_together_in_line_keywords_en,keyword_in_title_en,stemmed_keyword_in_title,presence_of_nav,text_alpha_length,number_frames,number_images,domain_in_title,domain_in_text,in_warninglist,number_redirects,different_final_domain,number_links,number_link_same_domain,average_link_length_same_domain,number_different_link_domains,average_link_length,maximum_link_length,link_to_text_ratio,number_non_link_characters,third_party_requests_ratio,third_party_data_ratio,third_party_html_content_ratio,initial_response_size,initial_response_ratio,kword_auction,kword_domain,kword_regist,kword_price,kword_offer,kword_servic,kword_host,kword_websit,kword_contact,kword_site,kword_transfer,kword_héberge,kword_internet,kword_serveur,kword_découvr,kword_mainten
domain_in_title,0.4144823490991,0.01952598308265145,0.027230880776529496,0.32462887894394443,0.1646681788083416,0.1618122798833037,-0.15947215690509306,-0.020199409478971777,-0.008360075398835256,-0.05723964545543705,1.0,0.3857854929302508,0.39105206237992574,0.020513475747606365,-0.009105117031120123,0.01840145186990832,0.0721816400346351,0.14347162466330307,-0.029806826905531107,0.17916420975701922,0.10119603516595742,0.001543921692706194,-0.026669525192991896,0.10258429073688427,0.12066581519863677,0.03389617411870103,-0.014366928526160982,-0.06418097045815739,-0.009719672050352695,0.06165464247013796,0.04137681707653888,0.009966497691877846,0.017201321224413837,-0.030708315919974017,-0.05244907707385663,-0.050284759391070924,-0.05022647171110252,-0.03953627486752213,0.08531679606835106,0.038249650803792695,0.014519982986042318,0.008716086178367928,-0.011096517057124512,-0.04622175271477883
domain_in_text,0.18484710035652607,-0.02160139473184978,0.026112272082113957,0.12914263065500256,0.06818887717085112,0.05924901508659508,-0.0873585907875252,0.0763547414174717,-0.011998675053446584,0.06046012325436103,0.3857854929302508,1.0,0.16429758765989153,0.004892052727674079,-0.11383899989211761,0.059794217136344974,0.05763012138124352,0.052365873602329055,-0.0023011268237220772,0.054306507551827816,-0.0010281224070094596,0.030025233080477148,0.07197884830650206,-0.04714491283139667,-0.039757654502909655,-0.08452275652178506,0.020948969003419343,-0.08668186621873204,0.03891423135065236,0.04578982753020164,-0.011054312501828357,-0.01962051765978745,-0.01282765627235838,0.06986734771974627,-0.06991215860441363,0.0547040605872463,-0.03345819089216593,-0.0327065353304166,-0.031436817609662264,0.009903292937848742,-0.006266697939648275,-0.01059571118685681,-0.034963899087823984,-0.06053855110496295
in_warninglist,0.58114100637264,-0.0206807001766657,0.13141142360819122,0.3474030583535261,0.177292211949636,0.1654748751941437,-0.1892069895256437,-0.048238802402430704,-0.08442095660863518,-0.09861666145973032,0.39105206237992574,0.16429758765989153,1.0,-0.08398658898157922,-0.17023781219304704,-0.12059211641409613,-0.0716145921729333,0.22396692698128676,-0.09000191801872577,0.21369040790364957,0.11424851512917214,-0.07149189856143857,-0.037391833174239324,0.011304276049240145,0.02116322389805615,-0.12057831737604141,0.09206707236361335,0.11583967619874254,-0.013767363085329425,0.10015478397924223,-0.046853097731424785,-0.03171981886036304,-0.006180068371436893,-0.02326590142036973,0.05159496099701202,-0.003812070184093532,-0.030596693545919856,-0.043327831788524965,0.10087107672577628,-0.01984590717740226,-0.06282020797201636,-0.016141383426421425,-0.027294350718650422,-0.04480170177996003
number_redirects,-0.12564395978460366,0.04279806971206545,0.0011873688671313338,-0.0010429072707465884,-0.09838914668288792,-0.10377837460675658,0.11878238676218372,0.06779589323368088,0.282656329473197,0.12390528631843482,0.020513475747606365,0.004892052727674079,-0.08398658898157922,1.0,0.13285555955882764,0.1848827435947306,0.1482880849634311,0.03941722070133744,0.13234574784810277,0.04138946774154977,0.13540888944436702,0.1790456145207347,0.04153783411860931,0.17903938045974058,0.13917428356990857,0.15249053154870917,0.05027280310625996,-0.08643162066122212,0.009997930737463414,0.020676818741076432,0.09676918323560388,0.02746104773451544,0.04100766530810351,0.02917993445364757,0.008376082045951213,0.022455674997645825,-0.009870071426501995,0.03574303147256181,-0.006180557942261548,-0.022078157814409156,0.025409266453483806,-0.016266183850907844,-0.015810137478670463,0.01633524145485796
different_final_domain,-0.10198049650098678,0.13505342961924044,0.0736583266437938,0.05370134884578562,-0.04636431355786106,-0.016056833392191647,0.2049386009753463,0.04703608816090609,0.17052605280354197,0.07070014768025704,-0.009105117031120123,-0.11383899989211761,-0.17023781219304704,0.13285555955882764,1.0,0.12563914275511967,0.06675728682038463,0.07847983222084678,0.10838137006494185,0.058086363918111256,0.1255137760608324,0.06932015302535864,0.034837317411969,0.6957751802250395,0.6771493387999739,0.8971400834577169,-0.1687743495844505,-0.2041442415392993,0.0019260953944116015,0.04101944226968295,0.11819951850926586,0.06655259902588383,0.12404342132231533,0.04573340081796425,0.09240354180691678,0.1481360817273056,0.016438813272923593,0.15784699462816176,0.022459452466321014,-0.017562401533354813,0.12181508783605009,-0.010238386028323441,0.006315472251734997,0.011661806308537243
number_links,-0.2030304421108788,0.12535838644363886,0.030866820775827176,-0.016657694210039826,-0.12487124885503939,-0.11037538443450685,0.17740073509210524,0.6521654672830539,0.3055178764235208,0.6487935865101846,0.01840145186990832,0.059794217136344974,-0.12059211641409613,0.1848827435947306,0.12563914275511967,1.0,0.6349726043207032,0.038678704970331865,0.6128557476472841,0.010975198544700885,0.13083926076179578,0.2992850188759931,0.5754888268721287,0.1486543611290862,0.11727440655530842,0.147939717532614,0.12962420303002223,-0.110872967436733,0.008816081285614214,-0.0010135791493057064,0.10072300833234848,0.09136227362934182,0.10557815642357483,0.13163127358815088,0.021858172344302467,0.1088061446912377,0.00513573438339547,0.13791860498677408,-0.029561075212211768,0.008329488728753392,0.30029960732372357,0.05178774325248854,0.03544230236191505,0.05004383621491879
number_link_same_domain,-0.1332242532044565,0.03691592927734084,0.0299503818740973,-0.018035824814874913,-0.09475655234620936,-0.06386860906026215,0.16378887574865592,0.29265112816407457,0.18842414684645717,0.26231977381925475,0.0721816400346351,0.05763012138124352,-0.0716145921729333,0.1482880849634311,0.06675728682038463,0.6349726043207032,1.0,0.04631151033475907,0.07173292048857974,0.08340676099636599,0.11717476664878136,0.2611535859563786,0.21772572399391832,0.09625861190751585,0.07187324975973465,0.0795130352691476,0.14330787567578746,-0.07183053906036718,0.03624630165227391,0.0010602188553943443,0.01718530572855741,0.10452208659817606,0.07117962274721727,0.08065253293051804,0.015400828651800234,0.03938774207040096,0.0037269771941362113,0.06923909016446414,-0.020793000987705347,0.04585574415315731,0.11160618406943495,0.07312207774402568,0.037540496370489354,0.033154132017971544
average_link_length_same_domain,0.07510786105296872,0.023084610539638936,0.004353666294376894,0.05837538828571774,-0.03781152464660095,-0.03178357367236664,0.005855934279688401,0.01986083449400535,0.09761628941531347,0.024292834018008073,0.14347162466330307,0.052365873602329055,0.22396692698128676,0.03941722070133744,0.07847983222084678,0.038678704970331865,0.04631151033475907,1.0,0.015011273103541075,0.8589987218692133,0.810855629812873,0.11122245028934918,0.015754959949057592,0.09800958909784485,0.10035135186275791,0.07879742780361922,0.010178983099456244,-0.06257428964388122,0.01451838689401872,0.010138569340078764,0.04683151988207832,0.01956322899674063,0.01306127793510816,0.00656672349700824,0.009222306977454407,0.018651927352776678,-0.00977701621680779,0.018669056191797043,0.020811232699449303,-0.011326835763660219,0.0005306915811003217,-0.0035691678470801845,-0.005967775603176221,-0.013451752132510653
number_different_link_domains,-0.13870763918660964,0.03608445288998245,0.013018936066866084,-0.015635793085422733,-0.06595181289965875,-0.07900994999157879,0.06570815822539403,0.30420354104238534,0.12822082259840603,0.4551892266782802,-0.029806826905531107,-0.0023011268237220772,-0.09000191801872577,0.13234574784810277,0.10838137006494185,0.6128557476472841,0.07173292048857974,0.015011273103541075,1.0,-0.00942556411607558,0.09192665177940675,0.30978586680321357,0.2560134910646152,0.09938144018103333,0.07084403119140584,0.11046063088583627,0.06427692832115178,-0.07462073207040212,-0.0061367496508860425,0.008036244290020754,0.11292050950745845,0.05174731109043919,0.07975801852361723,0.05418693883441397,0.029929589337470672,0.07436302996545924,-0.0024107560996236847,0.06894258916557258,-0.008096957990499596,-0.02155733451844897,0.214986877019462,-0.0006048437322535017,0.01551717227115886,0.04968273276076693
average_link_length,0.1356690411147018,0.07139552717905319,0.057438770011571695,0.08897571626237898,0.008983722585096028,0.007269817357729237,-0.007282187504914006,-0.01723720854037915,0.06815533593647187,0.019409925658091673,0.17916420975701922,0.054306507551827816,0.21369040790364957,0.04138946774154977,0.058086363918111256,0.010975198544700885,0.08340676099636599,0.8589987218692133,-0.00942556411607558,1.0,0.8150305782962208,0.17071294704768705,-0.0227158844209907,0.1160119871056287,0.09532906920546716,0.058479833802863104,0.07230366582280673,-0.04361064411607201,0.032629644428460496,0.03359969993151672,0.08119141216899207,0.024387105293659117,0.026699386110138307,0.0005292562306834478,0.046166332126138875,0.02568315524594851,-0.025169313566709654,0.03426378556084175,-0.003898865796496617,0.01627879745086664,-0.02801486485404669,0.012542408339350823,0.007173255004174596,-0.013811801888504512
