,parking,number_domain_keywords_en,number_parking_kewords_en,number_together_in_line_keywords_en,keyword_in_title_en,stemmed_keyword_in_title,presence_of_nav,text_alpha_length,number_frames,number_images,domain_in_title,domain_in_text,in_warninglist,number_redirects,different_final_domain,number_links,number_link_same_domain,average_link_length_same_domain,number_different_link_domains,average_link_length,maximum_link_length,link_to_text_ratio,number_non_link_characters,third_party_requests_ratio,third_party_data_ratio,third_party_html_content_ratio,initial_response_size,initial_response_ratio,kword_auction,kword_domain,kword_regist,kword_price,kword_offer,kword_servic,kword_host,kword_websit,kword_contact,kword_site,kword_transfer,kword_héberge,kword_internet,kword_serveur,kword_découvr,kword_mainten
domain_in_title,0.42924011464842465,-0.01963317121001949,0.047058354301291065,0.3333751746242292,0.11272396008840281,0.1349234799806593,-0.1679963211243041,-0.006701241642543876,-0.011386817463730822,-0.05608967663073179,1.0,0.32687644588622183,0.43191410234289074,0.02337643278713474,-0.03847863041909392,0.021290163611107953,0.08177402062333095,0.1638642779059761,-0.025422106206969133,0.17726554943374784,0.10264454956387745,-0.014215731170547457,-0.01278846156135303,0.0795838074265629,0.10477663118421063,0.0032859157852433703,0.0035889789133498294,-0.05057401681667031,-0.016276131469734348,0.07355921261257865,0.0024169873710024278,0.02834160939430031,0.025066448131260965,-0.026235708429721158,-0.04632127070129316,-0.031027168852473534,-0.055287840384367945,-0.030791567297961057,0.10416436429745919,-0.013573549026985808,0.044869284691873394,-0.01765091699451099,-0.025077187769481923,-0.06131448070113116
domain_in_text,0.13328381083923135,-0.0046115845827260265,0.005478652670590408,0.09242810328445189,-0.009981525949360668,0.007145120330824909,-0.10564428646090422,0.06828498896934329,-0.024151865159198614,0.06260741058605303,0.32687644588622183,1.0,0.13410044626189865,0.01737441938895167,-0.15206755205245961,0.04856266347154605,0.05217813491494387,0.05475925313726927,0.001943004780858784,0.05178479852344837,0.010987156842630623,0.04088198887404135,0.06518448769688658,-0.09445369778994711,-0.08902512006560694,-0.12001299740671814,0.08930909997348833,-0.09196412020836826,0.0456489912400959,0.015503317045389464,-0.010345066481563867,-0.015360503185861046,-0.024760470439388033,0.08558196562700894,-0.08479629042441125,0.048521725589703905,0.01807354329903013,-0.02035466064640274,-0.039096404047082534,-0.025497815680327482,-0.0003001428727617373,0.03303368976950146,-0.04430614967762393,-0.05380516853308987
in_warninglist,0.8081558334308565,-0.027213055955889482,0.08282916263593507,0.34178259852499604,0.20990598621573023,0.18582561368810097,-0.20993857203820937,-0.057067064556541584,-0.10237016368208936,-0.11705651616567415,0.43191410234289074,0.13410044626189865,1.0,-0.08936414293383975,-0.1863677916793162,-0.14545036474000086,-0.10031537977951942,0.21931275861405256,-0.09758741901519066,0.20087798993857867,0.11926684913737791,-0.09838200250185906,-0.043574097104688465,0.0017111931700980155,0.024359075490002966,-0.1387155251986304,0.11305484742712406,0.1269718964445561,-0.011554600571045322,0.0967110870495241,-0.051891570608355614,-0.03373887294275164,-0.014216733813310883,-0.023919246342301782,0.021885837812842347,-0.03654581705844876,-0.05669373179458999,-0.05419866075778655,0.10636231799367069,-0.009450294569304376,-0.06581602485399558,-0.012289075221582717,-0.017459458165304,-0.042903929881281444
number_redirects,-0.10356058960069998,0.042264476860448486,-0.00015102415390710165,0.0012220367680561444,-0.0767806597573355,-0.0782846908214531,0.1006319826188822,0.07013270515262761,0.2407421862579445,0.09701482853507434,0.02337643278713474,0.01737441938895167,-0.08936414293383975,1.0,0.13362474607844893,0.17161470981357196,0.19884038596300785,0.02221095244126768,0.05887284596037277,0.0167077488776115,0.08816442677668261,0.14016335200721938,0.042479115009351136,0.18016145490375254,0.14950185131357024,0.1588337338389351,0.037352723735133014,-0.07939017950875614,0.013318870287705082,0.018693557556195686,-0.009731594320675371,0.01800560203695321,0.038750424608579234,0.027947442374314492,-0.0007268185157284573,0.024004975230855676,0.00822645000634618,0.0449454770858125,-0.02509910294442849,-0.013467317235438706,0.04063599674443664,-0.010619499442563919,0.0013739435394725787,0.039843948785668985
different_final_domain,-0.09549182391655925,0.1360585383156689,0.07888562518119102,0.02232148732513163,-0.02893255259830675,0.014078596513177099,0.2106690643275142,0.07242371773776685,0.17719403155602637,0.07247612226798833,-0.03847863041909392,-0.15206755205245961,-0.1863677916793162,0.13362474607844893,1.0,0.14421474095402956,0.10700596731263762,0.06940988640857391,0.10638946506160768,0.060267255363178784,0.13396310448539378,0.029750469572393915,0.05730497898024335,0.7382421462884577,0.709595721015314,0.90126199757427,-0.1364593804790706,-0.19187492532362274,-0.02386913894890199,0.03491733653808362,0.11965672873188024,0.0725691417943196,0.126153890208701,0.04500370444747872,0.12436785422760559,0.16342614063120992,0.15271981639700358,0.15981968322053178,0.001487942056271799,-0.030891019531772677,0.15617162538664434,0.023608655348951825,0.05629112500740526,0.05124487999036538
number_links,-0.18345490768049158,0.07757842200900625,0.0400196044238072,8.26858475211982e-05,-0.09902993394286773,-0.08225507950245867,0.13120206953961344,0.6377949055799526,0.2683970344064685,0.6328648070754729,0.021290163611107953,0.04856266347154605,-0.14545036474000086,0.17161470981357196,0.14421474095402956,1.0,0.597526054347079,0.025372847422127212,0.6195956620374468,-0.007144459954617957,0.09946281194426877,0.26685671247152837,0.5676830070173999,0.15297718142706335,0.13531447406847874,0.16638217702449554,0.04149465975420353,-0.12009742735544751,0.005686108777629956,-0.0020758444977260135,0.05523131110221045,0.09203866253303512,0.1157446420060989,0.14594585560922094,0.012984381995038017,0.14227177135069433,0.080695804549867,0.14301062931897668,-0.03211305979081875,-0.01876852168682466,0.3192841642089559,0.433044540554009,0.07092493380811503,0.09520800016840726
number_link_same_domain,-0.1296262109273701,0.07139563960535109,0.04622651928076692,-0.00400079502092017,-0.08684596302914986,-0.042624814074766676,0.1537770096488006,0.3666226834899538,0.147006488882379,0.32717901287177503,0.08177402062333095,0.05217813491494387,-0.10031537977951942,0.19884038596300785,0.10700596731263762,0.597526054347079,1.0,0.046769502945046885,0.056760372146412816,0.10239730643219984,0.12235899784776248,0.2747287928270926,0.31966345700262927,0.11759628132705419,0.10505796293402207,0.1258833270676859,0.008822771611238275,-0.0949912269158409,0.040973338710097874,0.005690673374953848,0.03090965275546257,0.1268156518206941,0.09710278023735157,0.10977343264609413,-0.0013499995073593882,0.06586727358882176,0.07423484870510043,0.10375768334409538,-0.022365166393140613,-0.014504078803357369,0.13212711885099732,0.24744997905606628,-0.009640424348420093,0.0752520701119116
average_link_length_same_domain,0.15641975395875987,0.012835938737253465,0.0036980387480832857,0.044537888657704014,-0.018523956555414983,-0.015308844226757804,-0.0014379575044770369,0.012526230552045627,0.08659687981996096,0.006302295045044701,0.1638642779059761,0.05475925313726927,0.21931275861405256,0.02221095244126768,0.06940988640857391,0.025372847422127212,0.046769502945046885,1.0,0.0005560695128395656,0.884684254634089,0.8490648869357909,0.0861258261543045,0.009316963479115209,0.08235291961274338,0.09146111806236898,0.06966874949310078,0.024760288385214647,-0.054675458246620914,0.013872536226712662,0.00965889071038981,-0.008579127903032316,0.010752306912840962,0.010261684659979047,0.0023416844375986224,0.006941887923457162,0.01577726598557785,-0.007407903701649238,0.011689183781603456,0.004554019792505991,-0.011749371591995803,-0.0012641097521507887,0.003108793910052457,0.001930838008932505,-0.002965625246780943
number_different_link_domains,-0.12318511614654178,0.032881584876666654,0.01770390494534051,-0.015268159412192336,-0.05340874810747567,-0.07164076755214949,0.012939231687008883,0.25126159054977476,0.06789741588157303,0.41756661407436296,-0.025422106206969133,0.001943004780858784,-0.09758741901519066,0.05887284596037277,0.10638946506160768,0.6195956620374468,0.056760372146412816,0.0005560695128395656,1.0,-0.02262467684472891,0.05387476043617627,0.278069621712159,0.1975133378995593,0.08326453702118587,0.06892423776872766,0.10456114684072612,0.024461886183382707,-0.06788720254555528,-0.010916743760418799,-0.004903935124925374,0.012209412346556354,0.04505015050999051,0.08103185312838401,0.05490223115873482,0.03736893526247711,0.0924049645883574,0.04294172658430764,0.07528767093025811,-0.01008673821469325,-0.01322177541045798,0.23939079625601462,0.18406859722426389,0.07728411234162344,0.07702531467305508
average_link_length,0.19194931687242536,0.034913893383033565,0.04487225282245903,0.06638514771324776,0.02011578753996241,0.01558259295268643,0.0020793518677526333,-0.01876613757672307,0.06751775186496019,0.011289255292583612,0.17726554943374784,0.05178479852344837,0.20087798993857867,0.0167077488776115,0.060267255363178784,-0.007144459954617957,0.10239730643219984,0.884684254634089,-0.02262467684472891,1.0,0.8399984841301504,0.13557134036889917,-0.02330649082709082,0.10383500184533304,0.09856674325385445,0.06336145625934424,0.0632603911577365,-0.06134990626321752,0.036062617981968303,0.030730854788532918,-0.00825316684861858,0.02178192634856458,0.033603474934801536,0.0027163177491249576,0.03012433802885313,0.01884675355700522,-0.006319210459205015,0.028705501794639862,-0.011936794732148896,0.04515778513293548,-0.03289879501785934,0.015458324642737215,0.007320525248709646,0.005054864484071989
