,parking,number_domain_keywords_en,number_parking_kewords_en,number_together_in_line_keywords_en,keyword_in_title_en,stemmed_keyword_in_title,presence_of_nav,text_alpha_length,number_frames,number_images,domain_in_title,domain_in_text,in_warninglist,number_redirects,different_final_domain,number_links,number_link_same_domain,average_link_length_same_domain,number_different_link_domains,average_link_length,maximum_link_length,link_to_text_ratio,number_non_link_characters,third_party_requests_ratio,third_party_data_ratio,third_party_html_content_ratio,initial_response_size,initial_response_ratio,kword_auction,kword_domain,kword_regist,kword_price,kword_offer,kword_servic,kword_host,kword_websit,kword_contact,kword_site,kword_transfer,kword_héberge,kword_internet,kword_serveur,kword_découvr,kword_mainten
domain_in_title,0.3568733798885579,0.08564653721044191,-0.020015511055726336,0.2924538716187208,0.18510922477290576,0.14365928359348462,-0.07122871163819094,-0.03779819404060683,0.08296211204996257,-0.01570444634850826,1.0,0.5682202916312151,0.32034635446452175,0.050904350964511014,0.11390519515435255,0.05295412649746258,0.08248774140678135,0.13094382381248745,-0.01731304189145286,0.20203342201692226,0.1257180778857967,0.14086713071265894,-0.049559362933892626,0.17485400688355823,0.17233485490248313,0.15873641370347613,-0.08303648198405185,-0.1205054531184713,0.004962734650306845,0.012915835456987209,0.08994244873225662,-0.09753508141851794,0.027571997533501494,-0.08470791143829641,-0.07633948701870656,-0.08559520220706528,-0.08061878696539063,-0.0547075555386069,0.030318386877201398,0.040148816016558425,-0.05413168800162534,-0.004581001722269657,-0.03440493297694826,-0.037639118996338185
domain_in_text,0.35838395919596344,-0.06125614429695008,0.09591917589927529,0.2538634003196842,0.2657357820941362,0.19948436476399137,-0.04196057462697217,0.09777208369019334,0.02961867838956671,0.04671351249823103,0.5682202916312151,1.0,0.2817743691682375,-0.06317260771020435,0.009209204217506966,0.08694201866619036,0.07100517808463026,0.041981960092410585,-0.024142228379404253,0.06687027081705381,-0.0539951934130543,-0.024389766124375663,0.09051007911496912,0.10449580601727379,0.11771241330808258,0.022468335404754597,-0.0744067595933229,-0.0702856851600866,0.010540765495158139,0.13168253013964026,-0.011330438892543098,-0.09521133855381725,0.09733462539578423,-0.07156582104749845,-0.0403542805625528,0.07162459256872807,-0.08716019345792314,-0.08168701985418396,-0.005071115327357366,0.02759400383836663,-0.01940943058149807,-0.02390993101292565,-0.03524607144578112,-0.07644872871369533
in_warninglist,0.2819574435974337,-0.002165627569053394,0.32538970644439513,0.3877673288536053,0.17521078283871797,0.18239055537745288,-0.15212776585113294,-0.027410446437092745,-0.026541740222757376,-0.04904586999633264,0.32034635446452175,0.2817743691682375,1.0,-0.07103882793145937,-0.12750326333067852,-0.06149312196985992,-0.029096069244165093,0.27515409468134633,-0.06751155700640941,0.2799827531992566,0.08373183538950571,0.007410141876455902,-0.022481282835752823,0.04424614284731619,0.007012089059124719,-0.0735327158479157,0.100699245488494,0.09778134745336524,-0.022973513786648213,0.1281554068630525,-0.03825201402177418,-0.04509095484258023,0.06845505351461574,-0.04466055643891507,0.13850281454756705,0.10574201043438959,-0.020195534549735713,-0.0013581187159350666,0.0864339801785681,-0.0348939429103698,-0.05553733610856963,-0.02724070759194487,-0.041371051334442514,-0.04803120990012009
number_redirects,-0.1753977842142231,0.06011756363524024,0.004295806740377727,0.00798471971946325,-0.14059696271754302,-0.1642099298187369,0.16834139650026145,0.05950423107612205,0.5335482247694103,0.23481976279356603,0.050904350964511014,-0.06317260771020435,-0.07103882793145937,1.0,0.107351316450888,0.2401647744970771,0.041847139363375294,0.18277807353092668,0.5526564980924189,0.2008769069686695,0.4191704150748962,0.35842314584712187,0.037539002985282496,0.1825775845354511,0.09738569285660506,0.10460605095294928,0.1427660619242182,-0.10996767012068201,-0.006811065904089096,0.05245287897636158,0.45084671265597076,0.16555087093132076,0.04512596500024752,0.03983750828711426,0.04928419218153033,0.009090102575061612,-0.02697173402984286,-0.02501441864780615,0.09252358083926757,-0.040550576936735465,-0.01665435706672015,-0.027674653511474915,-0.029993996639831513,-0.04630782314699759
different_final_domain,-0.04244119208381391,0.1482794005422162,0.05219958050577151,0.18420875466446734,-0.013147275735567683,-0.012809896079910982,0.12639976560348704,-0.03412054347151603,0.08362122535232638,0.023321508471462606,0.11390519515435255,0.009209204217506966,-0.12750326333067852,0.107351316450888,1.0,0.040590829619260395,-0.0228186055923746,0.12633855197645535,0.0939831644868182,0.05497099157238039,0.07804126237453635,0.15246890329349347,-0.0357997531209109,0.5600343577678287,0.5776519420722505,0.8803394172393882,-0.22167059724680177,-0.22521411305627148,0.13432917196149677,0.08325539402769995,0.14263782258633362,0.0009354839793150235,0.13499052397750133,0.06763719618150958,0.039592299420825774,0.0943124788856485,-0.06823294829401089,0.1415440342930534,0.10262103586527793,-0.009238975634156368,0.051461074356897986,-0.0057602119954077505,-0.01236884562847534,-0.06559832682206723
number_links,-0.18388906516512465,0.22988333197145913,0.0011010404496405951,-0.04186197414098389,-0.11380289773089883,-0.10635913939404068,0.26535368356069655,0.6876041987248196,0.433802115957898,0.6873727137305626,0.05295412649746258,0.08694201866619036,-0.06149312196985992,0.2401647744970771,0.040590829619260395,1.0,0.7217669381231204,0.09733320458343998,0.6099144050983079,0.08066402947275977,0.23795592573657162,0.3670039131436041,0.5971537487494064,0.13285581262923268,0.06538038214174871,0.06606790070444221,0.30381095342769854,-0.07092688839807501,0.029113450362252304,0.023105634867825086,0.19380864828924926,0.14214530885184662,0.06293360615804909,0.11128388190273851,0.04892621109939966,0.015970181325204922,-0.028034974702497377,0.11700809199293673,-0.014273423347281048,0.04145675229379019,0.2767821308576536,0.05707453705049976,0.04323325151252913,-0.021776408762730133
number_link_same_domain,-0.1056568841454495,-0.005715539380693293,-0.0004836007285087318,-0.034850411291523636,-0.0736065088440773,-0.05969782285855645,0.1784781337442747,0.18478254339632,0.3257229592030426,0.14979280109697762,0.08248774140678135,0.07100517808463026,-0.029096069244165093,0.041847139363375294,-0.0228186055923746,0.7217669381231204,1.0,0.059758496723888894,0.1077275458172073,0.05887028948817295,0.1236052494824648,0.252364875124227,0.06284929161742224,0.062070465484226726,0.014751549820803919,-0.017303759967343433,0.28877485492324234,-0.028273241165557315,0.038170866468724605,0.005287776791972973,0.007859728913283537,0.11185860515768818,-0.007011345967300114,0.007723215662619975,0.04144131262090202,-0.008262382467376405,-0.019426764389476433,0.0003127781299882493,-0.015215624016762614,0.08052210168820524,0.08999180802390631,0.09416023393387243,0.08097460936781113,-0.013996226236641108
average_link_length_same_domain,-0.106609113181935,0.08515102011295728,0.006143285315166513,0.17776833881185725,-0.08329425570976903,-0.06585531722159768,-0.0006098983497647984,0.0571530232492405,0.15458898417251868,0.11442305822145737,0.13094382381248745,0.041981960092410585,0.27515409468134633,0.18277807353092668,0.12633855197645535,0.09733320458343998,0.059758496723888894,1.0,0.10867030962441945,0.7330658829180056,0.572151190922152,0.26596394992123595,0.04990581231120967,0.21245167610271215,0.1745353796160525,0.1260907359986361,0.006179196131619513,-0.1088065245249217,0.026862129456441935,0.03450933752572116,0.29588140359098336,0.19089151229018955,0.0326227243918092,0.08940183176672273,0.031845106434107165,0.032291417951652364,-0.015798590126175856,0.0627081142574246,0.13514473985301773,-0.020132372331215582,0.016608345666880422,0.0014675148727729184,-0.006882604989527517,-0.05456533603400843
number_different_link_domains,-0.15831382202806277,0.05329780759112719,-0.008859995217237439,-0.001712434054603694,-0.06057962450758733,-0.06563462395765247,0.24534056433607873,0.4890476739932941,0.42125215792732423,0.5985429361190922,-0.01731304189145286,-0.024142228379404253,-0.06751155700640941,0.5526564980924189,0.0939831644868182,0.6099144050983079,0.1077275458172073,0.10867030962441945,1.0,0.05955467046071874,0.2713882672470704,0.4303618997747909,0.45956910232290105,0.15865793167273984,0.07622135595157126,0.11161733604405218,0.18788780696590204,-0.08632552082643266,0.025344309525100663,0.0655339998057547,0.3771424457107891,0.14728738851653833,0.06895373163823594,0.06138470725062146,0.022101848280000322,0.005998203592178846,-0.03519922585886047,0.032733850925511426,0.005931551999167504,-0.03316443247270367,0.17110459926538646,-0.02281305231567347,-0.02711911691046073,-0.008194296131111672
average_link_length,0.03295083460598545,0.18743813212181074,0.11296179867141894,0.1820663585208864,-0.02754506375786909,-0.022421068984396268,-0.04207443766633727,-0.01209746737106184,0.08440904654638245,0.0595688698031005,0.20203342201692226,0.06687027081705381,0.2799827531992566,0.2008769069686695,0.05497099157238039,0.08066402947275977,0.05887028948817295,0.7330658829180056,0.05955467046071874,1.0,0.6888444329406295,0.3667452010826729,-0.021452579364665138,0.1697988673802102,0.08565529615880421,0.04557090905589638,0.1127456438621376,0.010932476708204134,0.011845237005829257,0.04381982510070919,0.3168060444661436,0.08188740842131893,-0.04921738039778366,-0.031108508045055962,0.09647159972049106,0.053714198712761015,-0.06429125942715895,0.06212293655959652,0.02752464433233741,0.03408056640529119,-0.017151286326351472,0.02648757458742603,0.008650801225924041,-0.07180526693222233
