uuid,tags,url,parking,number_domain_keywords_en,number_parking_kewords_en,number_together_in_line_keywords_en,keyword_in_title_en,stemmed_keyword_in_title,kword_auction,kword_domain,kword_regist,kword_price,kword_offer,kword_servic,kword_host,kword_websit,kword_contact,kword_site,kword_transfer,kword_héberge,kword_internet,kword_serveur,kword_découvr,kword_mainten,language,presence_of_nav,text_alpha_length,number_frames,number_images,domain_in_title,domain_in_text,in_warninglist,ip,different_final_domain,number_links,number_link_same_domain,average_link_length_same_domain,number_different_link_domains,average_link_length,maximum_link_length,link_to_text_ratio,number_non_link_characters,third_party_requests_ratio,third_party_data_ratio,third_party_html_content_ratio,initial_response_size,initial_response_ratio,number_redirects,structural_hash,Unnamed: 0
35c89377-81c3-459b-b1ef-973350a46e7a,"['not_parking', 'selected_captures']",https://integritasvisiutama.id,False,5,1,0,False,False,0,0,0,0,1,5,0,0,0,3,0,0,0,0,0,0,unknown,False,5557,0,36,False,False,False,"{'v4': ['202.52.146.180'], 'v6': []}",False,64,5,36.4,8,6.15625,46,0.1099514126327154,4946,0.0459770114942528,0.0547750221986227,0.0,27508,0.0174718087018601,0,84f46184f5a538ae09bbb4276ea95b30,
e4bb1408-e916-4f95-86d1-05eea6e3049f,"['not_parking', 'selected_captures']",https://alt-agen666.lol,False,5,0,0,False,False,0,0,1,0,0,11,0,0,0,0,3,0,0,0,0,0,unknown,False,2945,0,81,False,False,False,"{'v4': ['188.114.97.3', '188.114.96.3'], 'v6': ['2a06:98c1:3121::3', '2a06:98c1:3120::3']}",False,79,0,0.0,71,24.79746835443038,44,0.2438030560271646,2227,0.7628865979381443,0.4927526706989903,0.0,25352,0.0058668250160196,0,7f60353303b7bb87af9698c0c7d77988,
4b610c39-c9de-4e98-8c9c-b6bb6f58c35a,"['not_parking', 'selected_captures']",http://gmpg.org,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,829,0,0,False,False,False,"{'v4': ['66.155.40.24'], 'v6': []}",False,6,0,0.0,6,6.833333333333333,10,0.097708082026538,748,0.0,0.0,0.0,1698,0.6127751714182605,0,d73932908c24a2c20e0497753021a3ed,
ed55b2a5-2b2e-4975-9fa3-6cc1c63ae978,"['not_parking', 'selected_captures']",https://blog.ovhcloud.com/,False,91,0,0,False,False,0,0,0,0,1,1,4,7,0,56,0,0,0,0,0,0,unknown,True,3593,0,21,False,False,False,"{'v4': ['188.165.59.25'], 'v6': ['2001:41d0:301::25']}",False,143,96,68.3125,23,56.38805970149254,119,0.6615641525187865,1216,0.3137254901960784,0.0492110413528399,0.0026732469668928,29100,0.0032793687474355,0,62b1da0a1920097ed2c3ea36ecb93cfa,
20cb77d4-cab1-4b84-8a16-db3b784392c4,"['not_parking', 'selected_captures']",https://ukrspravki.online/sertifikat/?gad_source=1&gclid=CjwKCAjwnK60BhA9EiwAmpHZw4QfNfGNTCSD8IrHIe-6llv1FeLdAoAXVFEvFTd7MAYr9MXe62Q3WxoCBHQQAvD_BwE,False,29,0,0,False,False,0,2,0,0,0,1,0,3,0,8,0,0,0,0,0,0,unknown,True,3137,1,27,True,True,False,"{'v4': ['104.21.1.123', '172.67.129.55'], 'v6': ['2606:4700:3036::ac43:8137', '2606:4700:3036::6815:17b']}",False,79,30,32.8,21,25.43421052631579,145,0.1950908511316544,2525,0.2222222222222222,0.4977445011269534,0.0,25021,0.0113814333573659,1,30043f3fa69e2ef3901887a5b68e0734,
d6a38ad2-409e-4a33-b404-cf48eefde713,"['not_parking', 'selected_captures']",http://ed.gov,False,19,0,0,False,False,0,0,0,0,0,1,0,1,2,14,0,0,0,0,0,0,unknown,True,1946,0,14,False,False,False,"{'v4': ['165.224.131.183'], 'v6': ['2610:e8:9600:122::17']}",True,101,22,32.09090909090909,31,42.96,158,0.683967112024666,615,0.9777777777777776,1.0,1.0,0,0.0,2,52b4d5613a0a48a0303ad3e7c33a8b7f,
cdacbc98-43b5-4d03-aad8-eeb015dabb5b,"['not_parking', 'selected_captures']",http://login.microsoftonline.com/,False,20,2,1,False,False,0,0,5,0,0,5,1,0,0,1,0,0,0,0,0,0,unknown,False,101,0,2,False,False,False,"{'v4': [], 'v6': []}",False,5,0,0.0,4,239.8,1095,0.5346534653465347,47,0.8,0.9391418252231816,0.0517286004806803,0,0.0,3,fec9344e2bc9fc497ac8f76bfcbe0799,
08b2f7e6-701e-435e-b140-2c6f6c3a0c32,"['not_parking', 'selected_captures']",https://survey.struers.com/answer?key=18YUG4MC2UL5,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,False,700,0,0,False,False,False,"{'v4': ['152.115.76.44'], 'v6': []}",False,0,0,0.0,0,0.0,0,0.0,700,0.0,0.0,0.0,568,0.0032655877195504,0,322730c5be174d14b576eb37adc31223,
9e0c32ed-fe81-41ad-a487-72c0af42fa8c,"['not_parking', 'selected_captures']",http://lumineaparis.fr,False,37,8,1,False,False,0,8,0,0,0,2,7,1,6,12,0,0,1,0,12,0,unknown,True,6418,0,17,False,True,False,"{'v4': ['23.227.38.32'], 'v6': ['2620:127:f00f:3::']}",False,65,0,0.0,29,19.523076923076925,38,0.0846057961981925,5875,0.4492753623188406,0.3675959745625967,0.0,0,0.0,1,6e009b8fe49a989c2c146b2f4272e01a,
9ef2a1ad-9848-492c-8de8-e0ccd5e90862,"['not_parking', 'selected_captures']",http://google.com,False,21,0,0,False,False,0,6,0,0,0,1,1,1,0,6,0,0,1,0,0,0,unknown,False,2582,0,11,False,False,False,"{'v4': ['172.217.16.132'], 'v6': ['2a00:1450:4001:80b::2004']}",True,22,7,110.28571428571428,12,74.23809523809524,154,0.108830364058869,2301,0.9375,0.99969234555747,0.9971648753833862,0,0.0,2,4d64089d2ba1d5fa7cdda66a874ba379,
